,applied_online,age,account_age,account_type,city_code,loyalty_class,ict_ve_cntr,car_loan_holder,higher_education,years_mil_service,home_loan_holder,eligibility_class,account_fees_prev_year,y
279,1,49.17,2.29,2,1,1,0.29,0,0,0,0,2,200,0
52,1,19.0,0.0,1,1,1,0.0,0,1,4,0,2,45,0
290,0,44.33,0.0,2,8,4,2.5,1,0,0,0,2,0,1
154,1,32.33,7.5,2,10,5,1.585,1,0,0,1,1,420,0
259,1,34.83,2.5,1,9,4,3.0,0,0,0,0,1,200,0
194,0,20.83,3.0,2,6,4,0.04,1,0,0,0,2,100,1
282,1,59.5,2.75,2,9,4,1.75,1,1,5,1,2,60,1
114,1,24.17,0.875,2,11,4,4.625,1,1,2,1,2,520,1
157,1,34.25,3.0,2,13,8,7.415,1,0,0,1,2,0,1
147,1,34.17,2.75,2,3,5,2.5,0,0,0,1,2,232,0
85,0,56.83,4.25,1,1,1,5.0,0,0,0,1,2,0,0
56,1,32.33,2.5,2,8,4,1.25,0,0,0,1,2,280,0
144,1,34.0,5.085,1,3,5,1.085,0,0,0,1,2,480,0
329,1,26.33,13.0,2,10,2,0.0,0,0,0,1,2,140,0
29,1,56.75,12.25,2,7,4,1.25,1,1,4,1,2,200,1
274,0,35.42,12.0,2,11,8,14.0,1,1,8,0,2,0,1
152,1,31.25,1.125,2,1,1,0.0,0,1,1,0,2,96,0
34,1,31.25,2.835,2,1,1,0.0,0,1,5,0,2,176,0
58,1,27.83,4.0,1,3,8,5.75,1,1,2,1,2,75,0
149,1,31.58,0.75,1,6,4,3.5,0,0,0,1,2,320,0
15,1,42.83,1.25,2,7,4,13.875,0,1,1,1,2,352,0
59,1,33.58,0.25,2,3,5,4.0,0,0,0,1,1,420,0
155,1,24.83,2.75,2,8,4,2.25,1,1,6,0,2,184,1
54,1,27.67,2.0,2,14,8,1.0,1,1,4,0,2,140,1
285,1,19.17,4.0,1,3,4,1.0,0,0,0,1,2,360,0
344,0,27.42,14.5,2,14,8,3.085,1,1,1,0,2,120,1
271,0,20.67,1.835,2,11,4,2.085,1,1,5,0,2,220,1
173,1,54.58,9.415,2,1,1,14.415,1,1,11,1,2,30,1
50,0,20.42,0.835,2,11,4,1.585,1,1,1,0,2,0,1
165,0,19.58,0.665,2,9,4,1.665,0,0,0,0,2,220,0
300,0,38.25,6.0,2,4,4,1.0,1,0,0,1,2,0,1
262,0,20.42,7.5,2,4,4,1.5,1,1,1,0,2,160,1
217,1,32.25,0.165,1,8,8,3.25,1,1,1,1,2,432,1
213,1,53.92,9.625,2,10,4,8.665,1,1,5,0,2,0,1
267,0,45.33,1.0,2,11,4,0.125,0,0,0,1,2,263,0
17,1,39.58,13.915,2,9,4,8.625,1,1,6,1,2,70,1
145,0,57.08,0.335,2,3,5,1.0,1,0,0,1,2,252,0
87,1,41.17,4.04,2,13,8,7.0,1,1,8,0,2,320,1
266,1,32.67,9.0,1,9,8,5.25,1,0,0,1,2,154,1
38,1,36.5,4.25,2,11,4,3.5,0,0,0,0,2,454,0
136,1,36.33,2.125,1,9,4,0.085,1,1,1,0,2,50,1
